,Date,SUMS,,,,,,,
147,27.05.2016,3439.571,,,,,,,
148,28.05.2016,2705.575,,,,,,,
149,29.05.2016,1969.654,,,,,,,
150,30.05.2016,2072.412,,,,,,,
151,31.05.2016,1919.707,,,,,,,
152,01.06.2016,2453.603,,,,,,,
153,02.06.2016,1881.624,,,,,,,
154,03.06.2016,3212.668,,,,,,,
155,04.06.2016,3140.066,,,,,,,
156,05.06.2016,2037.3,,,,,,,
157,06.06.2016,3614.258,,,,,,,
158,07.06.2016,3778.499,,,,,,,
159,08.06.2016,1424.83,,,,,,,
160,09.06.2016,880.057,,,,,,,
161,10.06.2016,3524.181,,,,,,,
162,11.06.2016,1252.766,,,,,,,
163,12.06.2016,2763.321,,,,,,,
164,13.06.2016,2769.811,,,,,,,
165,14.06.2016,2665.73,,,,,,,
166,15.06.2016,3117.403,,,,,,,
167,16.06.2016,2906.158,,,,,,,
168,17.06.2016,2291.556,,,,,,,
169,18.06.2016,3373.156,,,,,,,
170,19.06.2016,1283.767,,,,,,,
171,20.06.2016,2238.607,,,,,,,
172,21.06.2016,1156.048,,,,,,,
173,22.06.2016,3272.249,,,,,,,
174,23.06.2016,4031.884,,,,,,,
175,24.06.2016,3940.965,,,,,,,
176,25.06.2016,3319.639,,,,,,,
177,26.06.2016,653.193,,,,,,,
178,27.06.2016,3037.548,,,,,,,
179,28.06.2016,3304.668,,,,,,,
180,29.06.2016,2601.215,,,,,,,
181,30.06.2016,2033.776,,,,,,,
182,01.07.2016,3578.334,,,,,,,
183,02.07.2016,1730.289,,,,,,,
184,03.07.2016,1764.225,,,,,,,
185,04.07.2016,2933.258,,,,,,,
186,05.07.2016,3293.727,,,,,,,
187,06.07.2016,3400.103,,,,,,,
188,07.07.2016,3928.057,,,,,,,
189,08.07.2016,3764.547,,,,,,,
190,09.07.2016,3397.887,,,,,,,
191,10.07.2016,3912.962,,,,,,,
192,11.07.2016,3094.203,,,,,,,
193,12.07.2016,864.69,,,,,,,
194,13.07.2016,1273.791,,,,,,,
195,14.07.2016,1393.36,,,,,,,
196,15.07.2016,3042.201,,,,,,,
197,16.07.2016,2373.802,,,,,,,
198,17.07.2016,2179.317,,,,,,,
199,18.07.2016,3039.228,,,,,,,
200,19.07.2016,3901.652,,,,,,,
201,20.07.2016,3927.978,,,,,,,
202,21.07.2016,2630.272,,,,,,,
203,22.07.2016,2794.131,,,,,,,
204,23.07.2016,2015.998,,,,,,,
205,24.07.2016,3123.544,,,,,,,
206,25.07.2016,2596.125,,,,,,,
207,26.07.2016,2897.168,,,,,,,
208,27.07.2016,2527.639,,,,,,,
209,28.07.2016,2879.143,,,,,,,
210,29.07.2016,2933.596,,,,,,,
211,30.07.2016,3169.443,,,,,,,
212,31.07.2016,1313.244,,,,,,,
213,01.08.2016,3179.233,,,,,,,
214,02.08.2016,2332.987,,,,,,,
215,03.08.2016,3652.837,,,,,,,
216,04.08.2016,3357.267,,,,,,,
217,05.08.2016,217.445,,,,,,,
218,06.08.2016,2597.612,,,,,,,
219,07.08.2016,3661.875,,,,,,,
220,08.08.2016,3991.627,,,,,,,
221,09.08.2016,1002.591,,,,,,,
222,10.08.2016,2380.523,,,,,,,
223,11.08.2016,2991.202,,,,,,,
224,12.08.2016,229.352,,,,,,,
225,13.08.2016,3923.849,,,,,,,
226,14.08.2016,3660.441,,,,,,,
227,15.08.2016,3478.571,,,,,,,
228,16.08.2016,3076.709,,,,,,,
229,17.08.2016,3465.554,,,,,,,
230,18.08.2016,2974.122,,,,,,,
231,19.08.2016,3142.386,,,,,,,
232,20.08.2016,2819.937,,,,,,,
233,21.08.2016,2001.999,,,,,,,
234,22.08.2016,2259.53,,,,,,,
235,23.08.2016,3843.223,,,,,,,
236,24.08.2016,4001.308,,,,,,,
237,25.08.2016,4009.684,,,,,,,
238,26.08.2016,3793.426,,,,,,,
239,27.08.2016,3608.162,,,,,,,
240,28.08.2016,3547.753,,,,,,,
241,29.08.2016,2356.213,,,,,,,
242,30.08.2016,3047.948,,,,,,,
243,31.08.2016,3356,,,,,,,
244,01.09.2016,2718.654,,,,,,,
245,02.09.2016,3099.6,,,,,,,
246,03.09.2016,3440.235,,,,,,,
247,04.09.2016,2468.448,,,,,,,
248,05.09.2016,2078.408,,,,,,,
249,06.09.2016,2456.158,,,,,,,
250,07.09.2016,3620.354,,,,,,,
251,08.09.2016,3673.025,,,,,,,
252,09.09.2016,3067.563,,,,,,,
253,10.09.2016,3312.214,,,,,,,
254,11.09.2016,3155.027,,,,,,,
255,12.09.2016,3537.632,,,,,,,
256,13.09.2016,3599.51,,,,,,,
257,14.09.2016,3546.478,,,,,,,
258,15.09.2016,3091.115,,,,,,,
259,16.09.2016,2250.525,,,,,,,
260,17.09.2016,323.386,,,,,,,
261,18.09.2016,628.29,,,,,,,
262,19.09.2016,142.045,,,,,,,
263,20.09.2016,1572.323,,,,,,,
264,21.09.2016,1871.557,,,,,,,
265,22.09.2016,3678.825,,,,,,,
266,23.09.2016,2438.211,,,,,,,
267,24.09.2016,3288.565,,,,,,,
268,25.09.2016,3340.866,,,,,,,
269,26.09.2016,2880.829,,,,,,,
270,27.09.2016,2609.615,,,,,,,
271,28.09.2016,3157.989,,,,,,,
272,29.09.2016,3515.914,,,,,,,
273,30.09.2016,3337.947,,,,,,,
274,01.10.2016,2905.319,,,,,,,
275,02.10.2016,489.535,,,,,,,
276,03.10.2016,2271.408,,,,,,,
277,04.10.2016,649.443,,,,,,,
278,05.10.2016,2364.439,,,,,,,
279,06.10.2016,714.011,,,,,,,
280,07.10.2016,551.312,,,,,,,
281,08.10.2016,1376.511,,,,,,,
282,09.10.2016,2448.394,,,,,,,
283,10.10.2016,1965.789,,,,,,,
284,11.10.2016,1986.779,,,,,,,
285,12.10.2016,1374.85,,,,,,,
286,13.10.2016,2792.297,,,,,,,
287,14.10.2016,1768.24,,,,,,,
288,15.10.2016,1561.657,,,,,,,
289,16.10.2016,3044.778,,,,,,,
290,17.10.2016,1900.044,,,,,,,
291,18.10.2016,727.543,,,,,,,
