,Date,Hour,SUMS
203,09.01.2016,11,121.877
204,09.01.2016,12,30.169
205,09.01.2016,13,9.491
206,09.01.2016,14,2.614
207,09.01.2016,15,0.088
208,09.01.2016,16,0
209,09.01.2016,17,0
210,09.01.2016,18,0
211,09.01.2016,19,0
212,09.01.2016,20,0
213,09.01.2016,21,0
214,09.01.2016,22,0
215,09.01.2016,23,0
216,10.01.2016,0,0
217,10.01.2016,1,0
218,10.01.2016,2,0
219,10.01.2016,3,0
220,10.01.2016,4,0
221,10.01.2016,5,0
222,10.01.2016,6,0
223,10.01.2016,7,3.719
224,10.01.2016,8,99.189
225,10.01.2016,9,292.699
226,10.01.2016,10,180.956
227,10.01.2016,11,60.215
228,10.01.2016,12,59.329
229,10.01.2016,13,59.38
230,10.01.2016,14,24.431
231,10.01.2016,15,0.587
232,10.01.2016,16,0
233,10.01.2016,17,0
234,10.01.2016,18,0
235,10.01.2016,19,0
236,10.01.2016,20,0
237,10.01.2016,21,0
238,10.01.2016,22,0
239,10.01.2016,23,0
240,11.01.2016,0,0
241,11.01.2016,1,0
242,11.01.2016,2,0
243,11.01.2016,3,0
244,11.01.2016,4,0
245,11.01.2016,5,0
246,11.01.2016,6,0
247,11.01.2016,7,2.968
248,11.01.2016,8,29.892
249,11.01.2016,9,57.051
250,11.01.2016,10,267.777
251,11.01.2016,11,264.467
252,11.01.2016,12,51.74
253,11.01.2016,13,22.843
254,11.01.2016,14,18.966
255,11.01.2016,15,0.588
256,11.01.2016,16,0
257,11.01.2016,17,0
258,11.01.2016,18,0
259,11.01.2016,19,0
260,11.01.2016,20,0
261,11.01.2016,21,0
262,11.01.2016,22,0
263,11.01.2016,23,0
264,12.01.2016,0,0
265,12.01.2016,1,0
266,12.01.2016,2,0
267,12.01.2016,3,0
268,12.01.2016,4,0
269,12.01.2016,5,0
270,12.01.2016,6,0
271,12.01.2016,7,2.621
272,12.01.2016,8,16.247
273,12.01.2016,9,41.959
274,12.01.2016,10,68.882
275,12.01.2016,11,235.197
276,12.01.2016,12,163.577
277,12.01.2016,13,105.951
